,id,text,created_at
33,1495415545553817605,"RT @ZonaBulutangkis: Eh baru cek tweet ini. Terima kasih Pak.

Pintaku masih sama seperti yg lalu, tolong bangun stadion olahraga dgn stand…",2022-02-20T15:10:24.000Z
34,1495415527702892552,"RT @abu_waras: Hanya terjadi di era Rezim Jokowi, rakyat antri minyak goreng sampai berjam-jam. Tapi dungunya masih ada yang teriak-teriak…",2022-02-20T15:10:19.000Z
35,1495415526507442176,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:10:19.000Z
36,1495415494974738436,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:10:12.000Z
37,1495415483264569345,"RT @MAHENDRA_GNW: sudah paham knp saya tdk pernah suka Jokowi dari sejak Mega-08 membawanya ke DKI 2012 lalu ?

nikmati pilihanmu !",2022-02-20T15:10:09.000Z
38,1495415478675599364,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:10:08.000Z
39,1495415474112598018,"RT @na_dirs: Pak @jokowi negara tidak boleh kalah dg mafia minyak goreng. 

Ironis, rakyat antri beli minyak goreng di saat Indonesia sudah…",2022-02-20T15:10:07.000Z
40,1495415469343657984,"RT @DonAdam68: Awal covid terjadi kelangkaan masker, lalu varian delta terjadi kelangkaan oksigen. Lha, pas varian omicron yg langka malah…",2022-02-20T15:10:06.000Z
41,1495415463144493060,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:10:04.000Z
42,1495415445088014339,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:10:00.000Z
43,1495415439421485058,"RT @FirzaHusainID: Dukungan masyarakat dari beberapa daerah kpd Menteri BUMN Erick Thohir utk jadi Capres 2024 terus mengalir, kali ini dat…",2022-02-20T15:09:58.000Z
44,1495415413521674240,@CasanovaX8X @jokowi @Lemp3r @AbidinBoryta @tnmuda @nikilo2512 @caesar_emil @RstmBcl @Akun___Receh @Annas_Cim @Haddie_st @RickyKardjono @CryptoKuta @Just__Aya9 @july_77a @TrisiyoWong @newIding30 @Suwarno888 @WhitePole_ Makasih bang,2022-02-20T15:09:52.000Z
45,1495415412657307653,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:52.000Z
46,1495415411575115781,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:09:52.000Z
47,1495415408333307909,"RT @RonaldLampard8: Jafar Shodiq Ingin Gulingkan Jokowi, NTT &amp; Papua Buka Suara https://t.co/QEgjthq28D",2022-02-20T15:09:51.000Z
